Table_Type$Company$System_Name$Nodes$Jvm_Company$Cpu_Name$Cpu_Frequency$Chips$Cores$Threads$Memory$Test_Location$Publish_Date$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Total_Result
Power$ASUSTeK Computer$RS720-E9/RS8$1$Oracle Corporation$Intel Xeon Platinum 8180$2500.0$2.0$56.0$112.0$192.0$Taipei$Dec 6, 2018$32.0$32.0$1024.0$39424.0$12727.0
Power$ASUSTeK Computer$RS720Q-E9-RS8$4$Oracle Corporation$Intel Xeon Platinum 8176M$2100.0$8.0$224.0$448.0$768.0$Taipei$May 10, 2019$32.0$32.0$1024.0$39424.0$11935.0
Power$ASUSTeK Computer$RS720-E9-RS8$1$Oracle Corporation$Intel Xeon Platinum 8280L$2700.0$2.0$56.0$112.0$192.0$Taipei$Jul 3, 2019$32.0$32.0$1024.0$39424.0$14066.0
Power$ASUSTeK Computer$RS720-E9-RS8$1$Oracle Corporation$Intel Xeon Platinum 8280L$2700.0$2.0$56.0$112.0$192.0$Taipei$Jul 17, 2019$32.0$32.0$1024.0$39424.0$14274.0
Power$ASUSTeK Computer$RS500A-E10-PS4$1$Oracle Corporation$AMD EPYC 7742 2.25Ghz$2250.0$1.0$64.0$128.0$128.0$Taipei$Jan 21, 2020$32.0$32.0$512.0$262144.0$20908.0
Power$ASUSTeK Computer$RS500A-E10-PS4$1$Oracle Corporation$AMD EPYC 7742 2.25Ghz$2250.0$1.0$64.0$128.0$128.0$Taipei$Jan 21, 2020$32.0$32.0$512.0$262144.0$21168.0
Power$ASUSTeK Computer$RS700A-E9-RS4V2$1$Oracle Corporation$AMD EPYC 7742 2.25Ghz$2250.0$2.0$128.0$256.0$256.0$Taipei$Apr 8, 2020$32.0$32.0$512.0$262144.0$20214.0
Power$ASUSTeK Computer$RS700A-E9-RS4V2$1$Oracle Corporation$AMD EPYC 7742 2.25Ghz$2250.0$2.0$128.0$256.0$256.0$Taipei$Apr 8, 2020$32.0$32.0$512.0$262144.0$20350.0
Power$ASUSTeK Computer$RS620SA-E10-RS12  RS620SA-E10$6$Oracle Corporation$AMD EPYC 7742 2.25Ghz$2250.0$6.0$384.0$768.0$768.0$Taipei$Oct 7, 2020$32.0$32.0$512.0$262144.0$24238.0
Power$ASUSTeK Computer$RS620SA-E10-RS12  RS620SA-E10$6$Oracle Corporation$AMD EPYC 7742 2.25Ghz$2250.0$6.0$384.0$768.0$768.0$Taipei$Oct 7, 2020$32.0$32.0$512.0$262144.0$24507.0
Power$ASUSTeK Computer$RS720-E10-R12$1$Oracle Corporation$Intel Xeon Platinum 8380$2300.0$2.0$80.0$160.0$256.0$Taipei$Jan 19, 2022$32.0$48.0$1280.0$61440.0$13600.0
Power$ASUSTeK Computer$RS700A-E11-RS4U$1$Oracle Corporation$AMD EPYC 7763$2450.0$2.0$128.0$256.0$256.0$Taipei$Jul 13, 2022$32.0$32.0$512.0$262144.0$25252.0
Power$ASUSTeK Computer$RS700A-E11-RS4U$1$Oracle Corporation$AMD EPYC 7763$2450.0$2.0$128.0$256.0$256.0$Taipei$Jul 13, 2022$32.0$32.0$512.0$262144.0$25302.0
