Hardware Vendor  Test Sponsor$System  Enclosure (if applicable)$Nodes$JVM Vendor$Processor # CPU Description$Processor # MHz$Processor # Chips$Processor # Cores$Processor # Total  Threads$Total  Memory (GB)$Submeasurements # ssj_ops  @ 100%$Submeasurements # avg. watts  @ 100%$Submeasurements # avg. watts  @ active idle$Result  (Overall ssj_ops/watt)$Test_Location$Publish_Date$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$RS720-E9/RS8  Dec 6, 2018 |  HTML  |  Text$1$Oracle Corporation$Intel Xeon Platinum 8180$2500$2$56$112$192$5386401$385$48.2$12727$Taipei, Taiwan$Dec 6, 2018$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$39424 KB I+D on chip per chip$192(GB)$1 x 480GB Intel 535 SATA 2.5 SSD
ASUSTeK Computer Inc.$RS720Q-E9-RS8  None  May 10, 2019 |  HTML  |  Text$4$Oracle Corporation$Intel Xeon Platinum 8176M$2100$8$224$448$768$19257841$1417$193$11935$Taipei, Taiwan.$May 10, 2019$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$39424 KB I+D on chip per chip$192(GB)$1 x 960GB Intel DC S3520 SATA 2.5 SSD
ASUSTeK Computer Inc.$RS720-E9-RS8  Jul 3, 2019 |  HTML  |  Text$1$Oracle Corporation$Intel Xeon Platinum 8280L$2700$2$56$112$192$5862238$412$62.4$14066$Taipei, Taiwan.$Jul 3, 2019$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$39424 KB I+D on chip per chip$192(GB)$1 x 960GB Intel DC S3520 SATA 2.5 SSD P/N: 03B01-00160400
ASUSTeK Computer Inc.$RS720-E9-RS8  Jul 17, 2019 |  HTML  |  Text$1$Oracle Corporation$Intel Xeon Platinum 8280L$2700$2$56$112$192$5845032$405$47.4$14274$Taipei, Taiwan.$Jul 17, 2019$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$39424 KB I+D on chip per chip$192(GB)$1 x 960GB Intel DC S3520 SATA 2.5 SSD P/N: 03B01-00160400
ASUSTeK Computer Inc.$RS500A-E10-PS4  Jan 21, 2020 |  HTML  |  Text$1$Oracle$AMD EPYC 7742 2.25Ghz$2250$1$64$128$128$6064779$214$51.4$20908$Taipei, Taiwan$Jan 21, 2020$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$128(GB)$1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800
ASUSTeK Computer Inc.$RS500A-E10-PS4  Jan 21, 2020 |  HTML  |  Text$1$Oracle$AMD EPYC 7742 2.25Ghz$2250$1$64$128$128$5879510$206$56.4$21168$Taipei, Taiwan$Jan 21, 2020$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$128(GB)$1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800
ASUSTeK Computer Inc.$RS700A-E9-RS4V2  Apr 8, 2020 |  HTML  |  Text$1$Oracle$AMD EPYC 7742 2.25Ghz$2250$2$128$256$256$11702137$430$106$20214$Taipei, Taiwan$Apr 8, 2020$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$256(GB)$1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800
ASUSTeK Computer Inc.$RS700A-E9-RS4V2  Apr 8, 2020 |  HTML  |  Text$1$Oracle$AMD EPYC 7742 2.25Ghz$2250$2$128$256$256$11945201$425$92.9$20350$Taipei, Taiwan$Apr 8, 2020$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$256(GB)$1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800
ASUSTeK Computer Inc.$RS620SA-E10-RS12  RS620SA-E10  Oct 7, 2020 |  HTML  |  Text$6$Oracle$AMD EPYC 7742 2.25Ghz$2250$6$384$768$768$36876127$1140$228$24238$Taipei, Taiwan.$Oct 7, 2020$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$128(GB)$1 x 240GB Seagate Nytro 510DCT M.2 PCIE SSD P/N: 03B03-00130200
ASUSTeK Computer Inc.$RS620SA-E10-RS12  RS620SA-E10  Oct 7, 2020 |  HTML  |  Text$6$Oracle$AMD EPYC 7742 2.25Ghz$2250$6$384$768$768$36645962$1141$250$24507$Taipei, Taiwan.$Oct 7, 2020$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$128(GB)$1 x 240GB Seagate Nytro 510DCT M.2 PCIE SSD P/N: 03B03-00130200
ASUSTeK Computer Inc.$RS720-E10-R12  Jan 19, 2022 |  HTML  |  Text$1$Oracle Corporation$Intel Xeon Platinum 8380$2300$2$80$160$256$8962178$623$110$13600$Taipei, Taiwan.$Jan 19, 2022$32 KB I + 48 KB D on chip per core$1280 KB I+D on chip per core$60 MB I+D on chip per chip$256(GB)$1 x 240GB Seagate Nytro 510DCT M.2 PCIE SSD P/N: 03B03-00130200
